,MSA,state,lq,race,MSA_State,Latitude,Longitude
339,Stockton,CA,0.4,Asian,"Stockton, CA",37.9577016,-121.2907796
340,Sumter,SC,0.11,Asian,"Sumter, SC",33.9204354,-80.3414693
341,Syracuse,NY,0.96,Asian,"Syracuse, NY",43.0481221,-76.1474244
342,Tallahassee,FL,0.55,Asian,"Tallahassee, FL",30.4382559,-84.2807329
343,Tampa,FL,0.92,Asian,"Tampa, FL",27.950575,-82.4571776
344,Terre Haute,IN,0.3,Asian,"Terre Haute, IN",39.4667034,-87.4139092
345,Texarkana,TX,0.03,Asian,"Texarkana, TX",33.425125,-94.0476882
346,The Villages,FL,0.14,Asian,"The Villages, FL",28.927019,-82.0037608
347,Toledo,OH,0.19,Asian,"Toledo, OH",41.6528052,-83.5378674
348,Topeka,KS,0.06,Asian,"Topeka, KS",39.0473451,-95.6751576
349,Trenton,NJ,2.22,Asian,"Trenton, NJ",40.2205824,-74.759717
350,Tucson,AZ,0.81,Asian,"Tucson, AZ",32.2539787,-110.9741769
351,Tulsa,OK,0.62,Asian,"Tulsa, OK",36.1539816,-95.992775
352,Tuscaloosa,AL,0.83,Asian,"Tuscaloosa, AL",33.2098407,-87.5691735
353,Twin Falls,ID,0,Asian,"Twin Falls, ID",42.5558381,-114.4700518
354,Tyler,TX,0.11,Asian,"Tyler, TX",32.3512601,-95.3010624
355,Urban Honolulu,HI,2.61,Asian,"Urban Honolulu, HI",21.3098845,-157.8581401
356,Utica,NY,0.85,Asian,"Utica, NY",43.100903,-75.232664
357,Valdosta,GA,0.6,Asian,"Valdosta, GA",30.8327022,-83.2784851
358,Vallejo,CA,0.64,Asian,"Vallejo, CA",38.1040864,-122.2566367
359,Victoria,TX,0,Asian,"Victoria, TX",28.8052674,-97.0035982
360,Vineland,NJ,0.15,Asian,"Vineland, NJ",39.4863773,-75.0259637
361,Virginia Beach,VA,1.1,Asian,"Virginia Beach, VA",36.8516437,-75.9792194
362,Visalia,CA,0.2,Asian,"Visalia, CA",36.3301329,-119.2966367
363,Waco,TX,0.43,Asian,"Waco, TX",31.549333,-97.1466695
364,Walla Walla,WA,0.74,Asian,"Walla Walla, WA",46.0645809,-118.3430209
365,Warner Robins,GA,0.12,Asian,"Warner Robins, GA",32.6130007,-83.624201
366,Washington,DC,2.11,Asian,"Washington, DC",38.9071923,-77.0368707
367,Waterloo,IA,0.9,Asian,"Waterloo, IA",42.492786,-92.3425775
368,Watertown,NY,0.9,Asian,"Watertown, NY",43.9747838,-75.9107565
369,Wausau,WI,0.55,Asian,"Wausau, WI",44.9591352,-89.6301221
370,Weirton,WV,0.02,Asian,"Weirton, WV",40.4189566,-80.5895167
371,Wenatchee,WA,0.12,Asian,"Wenatchee, WA",47.4234599,-120.3103494
372,Wheeling,WV,0,Asian,"Wheeling, WV",40.0639616,-80.7209149
373,Wichita,KS,0.49,Asian,"Wichita, KS",37.6871761,-97.330053
374,Wichita Falls,TX,0.91,Asian,"Wichita Falls, TX",33.9137085,-98.4933873
375,Williamsport,PA,0,Asian,"Williamsport, PA",41.2411897,-77.0010786
376,Wilmington,NC,0.21,Asian,"Wilmington, NC",34.2103894,-77.8868117
377,Winchester,VA,0,Asian,"Winchester, VA",39.1856597,-78.1633341
378,Winston,NC,0.57,Asian,"Winston, NC",36.1039642,-80.254435
379,Worcester,MA,0.49,Asian,"Worcester, MA",42.2625932,-71.8022934
380,Yakima,WA,0.06,Asian,"Yakima, WA",46.6020711,-120.5058987
381,York,PA,0.33,Asian,"York, PA",39.9625984,-76.727745
382,Youngstown,OH,0.08,Asian,"Youngstown, OH",41.0997803,-80.6495194
383,Yuba City,CA,0.15,Asian,"Yuba City, CA",39.1404477,-121.6169108
384,Yuma,AZ,1.05,Asian,"Yuma, AZ",32.6926512,-114.6276916
