City2,State2,savings,hpigap,Pop,Location,Latitude,Longitude
StringFilter,StringFilter,,,,MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter
Providence-Warwick,RI,0.241643249,76.0485,871,"Providence-Warwick, RI",41.7649202,-71.4299364
Provo-Orem,UT,0.2668589081,83.794,2644,"Provo-Orem, UT",40.2968979,-111.6946475
Pueblo,CO,0.1732590126,39.06625,54,"Pueblo, CO",38.2544472,-104.6091409
Punta Gorda,FL,0.3272385767,108.1825,190,"Punta Gorda, FL",26.9297836,-82.0453664
Racine,WI,0.2743930646,62.94,24,"Racine, WI",42.7261309,-87.7828523
Raleigh-Cary,NC,0.3284617581,95.495,1393,"Raleigh-Cary, NC",35.79154,-78.7811169
Rapid City,SD,0.2314968877,77.6775,419,"Rapid City, SD",44.0805434,-103.2310149
Reading,PA,0.5868185297,228.1125,26,"Reading, PA",40.3356483,-75.9268747
Reno,NV,0.2624468939,80.715625,3195,"Reno, NV",39.529919,-119.8142691
Richmond,VA,0.3147446446,98.042,335,"Richmond, VA",37.5407246,-77.4360481
Roanoke,VA,0.3643095581,104.8865,194,"Roanoke, VA",37.2709704,-79.9414266
Rochester,MN,0.3236760938,94.3425,288,"Rochester, MN",44.0121221,-92.4801989
Rochester,NY,0.396288269,103.13875,434,"Rochester, NY",43.1565779,-77.6088465
Rockford,IL,0.5274647481,143.5275,59,"Rockford, IL",42.2711311,-89.0939952
Rocky Mount,NC,0.5555462715,181.4158333,64,"Rocky Mount, NC",35.9382103,-77.7905339
Saginaw,MI,0.4840205658,142.016,76,"Saginaw, MI",43.4194699,-83.9508068
Salem,OR,0.2175833837,68.06854167,1065,"Salem, OR",44.9428975,-123.0350963
Salisbury,MD,0.2439171554,70.6065,53,"Salisbury, MD",38.3606736,-75.5993692
Salt Lake City,UT,0.2111897104,68.3115,2969,"Salt Lake City, UT",40.7607793,-111.8910474
San Angelo,TX,0.1441188966,40.70791667,344,"San Angelo, TX",31.4637723,-100.4370375
San Antonio-New Braunfels,TX,0.2503173186,77.79464286,3527,"San Antonio-New Braunfels, TX",29.4249213,-98.4930675
Santa Fe,NM,0.3907664231,123.6753571,380,"Santa Fe, NM",35.6869752,-105.937799
Savannah,GA,0.2332291171,66.86666667,152,"Savannah, GA",32.0808989,-81.091203
Scranton--Wilkes-Barre,PA,0.3639871513,101.926,425,"Scranton--Wilkes-Barre, PA",41.2414727,-75.868918
Seattle-Tacoma-Bellevue,WA,0.164640582,59.676875,7478,"Seattle-Tacoma-Bellevue, WA",47.6061031,-122.3320534
Sebastian-Vero Beach,FL,0.2551229792,73.7025,372,"Sebastian-Vero Beach, FL",27.816415,-80.4706078
Sebring-Avon Park,FL,0.4200707339,130.6525,26,"Sebring-Avon Park, FL",27.5958672,-81.5061862
Sheboygan,WI,0.456347009,135.98,13,"Sheboygan, WI",43.7508284,-87.71453
Sherman-Denison,TX,0.1860034273,53.03666667,172,"Sherman-Denison, TX",33.6704808,-96.6101496
Shreveport-Bossier City,LA,0.2889787922,78.484375,184,"Shreveport-Bossier City, LA",32.5159852,-93.7321228
Sierra Vista-Douglas,AZ,0.3811698466,113.7165,699,"Sierra Vista-Douglas, AZ",31.828458,-109.949686
Sioux City,IA,0.4022748517,131.8691667,66,"Sioux City, IA",42.4963416,-96.4049408
Sioux Falls,SD,0.282275632,89.22333333,1039,"Sioux Falls, SD",43.5460223,-96.731265
South Bend-Mishawaka,IN,0.4793709576,152.915,39,"South Bend-Mishawaka, IN",41.6619927,-86.1586156
Spartanburg,SC,0.3511125092,92.18928571,448,"Spartanburg, SC",34.9495672,-81.9320482
Spokane-Spokane Valley,WA,0.2368186084,67.27888889,3017,"Spokane-Spokane Valley, WA",47.6826185,-117.1558381
Springfield,IL,0.4706479827,152.6941667,125,"Springfield, IL",39.7817213,-89.6501481
Springfield,MA,0.2527498984,70.759,152,"Springfield, MA",42.1014831,-72.589811
Springfield,MO,0.3867516547,110.8133929,563,"Springfield, MO",37.2089572,-93.2922989
Springfield,OH,0.4468553859,114.09,179,"Springfield, OH",39.9242266,-83.8088171
St. Cloud,MN,0.2120994497,57.99464286,139,"St. Cloud, MN",45.5579451,-94.1632404
St. George,UT,0.3129340598,91.43,1453,"St. George, UT",37.0965278,-113.5684164
St. Joseph,MO,0.2447934682,63.35625,6,"St. Joseph, MO",39.7674578,-94.846681
St. Louis,MO,0.2351475112,68.1496875,865,"St. Louis, MO",38.6270025,-90.1994042
State College,PA,0.266411548,87.03,140,"State College, PA",40.7933949,-77.8600012
Staunton,VA,0.2721081243,77.50083333,210,"Staunton, VA",38.149576,-79.0716958
Sumter,SC,0.2539191185,67.109375,136,"Sumter, SC",33.9204354,-80.3414693
Syracuse,NY,0.3326060453,88.56,274,"Syracuse, NY",43.0481221,-76.1474244
Tallahassee,FL,0.3400376571,112.51625,90,"Tallahassee, FL",30.4382559,-84.2807329
Tampa-St. Petersburg-Clearwater,FL,0.1777248956,55.07166667,423,"Tampa-St. Petersburg-Clearwater, FL",28.274347,-82.3885783
Terre Haute,IN,0.4614545696,129.5475,89,"Terre Haute, IN",39.4667034,-87.4139092
Texarkana,TX,0.3295210865,84.1325,1,"Texarkana, TX",33.425125,-94.0476882
The Villages,FL,0.03111261414,7.36,43,"The Villages, FL",28.927019,-82.0037608
Toledo,OH,0.3919374931,95.93928571,101,"Toledo, OH",41.6528052,-83.5378674
Topeka,KS,0.3646270247,109.6377778,145,"Topeka, KS",39.0473451,-95.6751576
Trenton-Princeton,NJ,0.2689194508,79.3075,330,"Trenton-Princeton, NJ",40.2205824,-74.759717
Tucson,AZ,0.2391288799,70.01402778,3632,"Tucson, AZ",32.2539787,-110.9741769
Tulsa,OK,0.2382695316,69.86882353,1666,"Tulsa, OK",36.1539816,-95.992775
Tuscaloosa,AL,0.2618123561,68.99,427,"Tuscaloosa, AL",33.2098407,-87.5691735
Twin Falls,ID,0.2621617863,73.1728125,663,"Twin Falls, ID",42.5558381,-114.4700518
Tyler,TX,0.3722656189,119.688125,269,"Tyler, TX",32.3512601,-95.3010624
Utica-Rome,NY,0.3324303244,97.07166667,31,"Utica-Rome, NY",43.100903,-75.232664
Valdosta,GA,0.4261399867,128.9975,43,"Valdosta, GA",30.8327022,-83.2784851
Victoria,TX,0.4380935596,165.9625,85,"Victoria, TX",28.8052674,-97.0035982
Vineland-Bridgeton,NJ,0.4638292742,144.2625,30,"Vineland-Bridgeton, NJ",39.4704305,-75.1398098
Virginia Beach-Norfolk-Newport News,VA,0.178934528,49.9990625,1241,"Virginia Beach-Norfolk-Newport News, VA",37.0870821,-76.4730122
Waco,TX,0.2897323768,91.84027778,1054,"Waco, TX",31.549333,-97.1466695
Walla Walla,WA,0.3072373847,99.51375,334,"Walla Walla, WA",46.0645809,-118.3430209
Warner Robins,GA,0.5480920422,176.7758333,268,"Warner Robins, GA",32.6130007,-83.624201
Waterloo-Cedar Falls,IA,0.2072601726,59.729375,280,"Waterloo-Cedar Falls, IA",42.5348993,-92.4453161
Watertown-Fort Drum,NY,0.2731843216,94.093,182,"Watertown-Fort Drum, NY",43.9747838,-75.9107565
Wausau-Weston,WI,0.4053724409,134.4025,8,"Wausau-Weston, WI",44.8908021,-89.5476204
Weirton-Steubenville,WV,0.409105822,131.801875,82,"Weirton-Steubenville, WV",40.3697905,-80.6339638
Wenatchee,WA,0.2266994659,71.30625,236,"Wenatchee, WA",47.4234599,-120.3103494
Wheeling,WV,0.3683253036,107.4183333,14,"Wheeling, WV",40.0639616,-80.7209149
Wichita,KS,0.321571955,85.58972222,636,"Wichita, KS",37.6871761,-97.330053
Wichita Falls,TX,0.324689934,92.06386364,341,"Wichita Falls, TX",33.9137085,-98.4933873
Williamsport,PA,0.2668459267,76.7725,75,"Williamsport, PA",41.2411897,-77.0010786
Wilmington,NC,0.2163010116,74.780625,126,"Wilmington, NC",34.2103894,-77.8868117
Winston-Salem,NC,0.4242248349,132.2591667,359,"Winston-Salem, NC",36.0998596,-80.244216
Worcester,MA,0.2527660992,78.15678571,386,"Worcester, MA",42.2625932,-71.8022934
Yakima,WA,0.3191573634,96.95863636,391,"Yakima, WA",46.6020711,-120.5058987
York-Hanover,PA,0.2816122055,68.23333333,39,"York-Hanover, PA",39.8006553,-76.9830358
Youngstown-Warren-Boardman,OH,0.3906020751,102.5159375,157,"Youngstown-Warren-Boardman, OH",41.0242256,-80.6628528
Yuma,AZ,0.3137693077,88.3235,1210,"Yuma, AZ",32.6926512,-114.6276916
