,City2,State2,savings,hpigap,Pop,Location,Latitude,Longitude
259,Pittsfield,MA,0.2828460467,88.159,238,"Pittsfield, MA",42.4500845,-73.2453824
260,Pocatello,ID,0.2528381777,72.8059375,170,"Pocatello, ID",42.8621042,-112.4506191
261,Port St. Lucie,FL,0.2604382941,87.22821429,420,"Port St. Lucie, FL",27.2730492,-80.3582261
262,Portland-South Portland,ME,0.09745743911,38.914375,104,"Portland-South Portland, ME",43.6414716,-70.2408811
263,Portland-Vancouver-Hillsboro,OR,-0.1306015743,-18.51960526,11012,"Portland-Vancouver-Hillsboro, OR",45.6536758,-122.5462872
264,Poughkeepsie-Newburgh-MiddleTown,NY,0.2414869618,65.14083333,297,"Poughkeepsie-Newburgh-MiddleTown, NY",41.5034271,-74.0104178
265,Prescott Valley-Prescott,AZ,0.2022728705,65.05557692,2547,"Prescott Valley-Prescott, AZ",34.6100243,-112.315721
266,Providence-Warwick,RI,0.1487176531,49.58892857,961,"Providence-Warwick, RI",41.7649202,-71.4299364
267,Provo-Orem,UT,0.1294972204,44.07764706,2880,"Provo-Orem, UT",40.2968979,-111.6946475
268,Pueblo,CO,0.1732590126,39.06625,54,"Pueblo, CO",38.2544472,-104.6091409
269,Punta Gorda,FL,0.2603257316,89.04642857,212,"Punta Gorda, FL",26.9297836,-82.0453664
270,Racine,WI,0.2743930646,62.94,24,"Racine, WI",42.7261309,-87.7828523
271,Raleigh-Cary,NC,0.3284617581,95.495,1393,"Raleigh-Cary, NC",35.79154,-78.7811169
272,Rapid City,SD,0.1297022866,46.40583333,458,"Rapid City, SD",44.0805434,-103.2310149
273,Reading,PA,0.5868185297,228.1125,26,"Reading, PA",40.3356483,-75.9268747
274,Reno,NV,0.1857560619,58.45453125,3270,"Reno, NV",39.529919,-119.8142691
275,Richmond,VA,0.2461769447,78.76041667,361,"Richmond, VA",37.5407246,-77.4360481
276,Roanoke,VA,0.3643095581,104.8865,194,"Roanoke, VA",37.2709704,-79.9414266
277,Rochester,MN,0.3236760938,94.3425,288,"Rochester, MN",44.0121221,-92.4801989
278,Rochester,NY,0.396288269,103.13875,434,"Rochester, NY",43.1565779,-77.6088465
279,Rockford,IL,0.5274647481,143.5275,59,"Rockford, IL",42.2711311,-89.0939952
280,Rocky Mount,NC,0.5555462715,181.4158333,64,"Rocky Mount, NC",35.9382103,-77.7905339
281,Saginaw,MI,0.4840205658,142.016,76,"Saginaw, MI",43.4194699,-83.9508068
282,Salem,OR,0.1587400192,51.5,1285,"Salem, OR",44.9428975,-123.0350963
283,Salisbury,MD,0.17881477,54.375,56,"Salisbury, MD",38.3606736,-75.5993692
284,Salt Lake City,UT,0.0783628965,33.728,3246,"Salt Lake City, UT",40.7607793,-111.8910474
285,San Angelo,TX,0.06687509816,22.68,393,"San Angelo, TX",31.4637723,-100.4370375
286,San Antonio-New Braunfels,TX,0.1310573525,44.07068182,3839,"San Antonio-New Braunfels, TX",29.4249213,-98.4930675
287,Santa Fe,NM,0.3907664231,123.6753571,380,"Santa Fe, NM",35.6869752,-105.937799
288,Savannah,GA,0.2332291171,66.86666667,152,"Savannah, GA",32.0808989,-81.091203
289,Scranton--Wilkes-Barre,PA,0.3639871513,101.926,425,"Scranton--Wilkes-Barre, PA",41.2414727,-75.868918
290,Seattle-Tacoma-Bellevue,WA,-0.1547048161,-24.11625,8212,"Seattle-Tacoma-Bellevue, WA",47.6061031,-122.3320534
291,Sebastian-Vero Beach,FL,0.2551229792,73.7025,372,"Sebastian-Vero Beach, FL",27.816415,-80.4706078
292,Sebring-Avon Park,FL,0.4200707339,130.6525,26,"Sebring-Avon Park, FL",27.5958672,-81.5061862
293,Sheboygan,WI,0.456347009,135.98,13,"Sheboygan, WI",43.7508284,-87.71453
294,Sherman-Denison,TX,0.09483259114,28.4805,190,"Sherman-Denison, TX",33.6704808,-96.6101496
295,Shreveport-Bossier City,LA,0.2281862946,62.2315,185,"Shreveport-Bossier City, LA",32.5159852,-93.7321228
296,Sierra Vista-Douglas,AZ,0.3811698466,113.7165,699,"Sierra Vista-Douglas, AZ",31.828458,-109.949686
297,Sioux City,IA,0.4022748517,131.8691667,66,"Sioux City, IA",42.4963416,-96.4049408
298,Sioux Falls,SD,0.282275632,89.22333333,1039,"Sioux Falls, SD",43.5460223,-96.731265
299,South Bend-Mishawaka,IN,0.4793709576,152.915,39,"South Bend-Mishawaka, IN",41.6619927,-86.1586156
300,Spartanburg,SC,0.3511125092,92.18928571,448,"Spartanburg, SC",34.9495672,-81.9320482
301,Spokane-Spokane Valley,WA,0.2229757641,63.48618421,3023,"Spokane-Spokane Valley, WA",47.6826185,-117.1558381
302,Springfield,IL,0.4706479827,152.6941667,125,"Springfield, IL",39.7817213,-89.6501481
303,Springfield,MA,0.2024819199,57.47916667,173,"Springfield, MA",42.1014831,-72.589811
304,Springfield,MO,0.3867516547,110.8133929,563,"Springfield, MO",37.2089572,-93.2922989
305,Springfield,OH,0.4468553859,114.09,179,"Springfield, OH",39.9242266,-83.8088171
306,St. Cloud,MN,0.2120994497,57.99464286,139,"St. Cloud, MN",45.5579451,-94.1632404
307,St. George,UT,0.3129340598,91.43,1453,"St. George, UT",37.0965278,-113.5684164
308,St. Joseph,MO,0.2447934682,63.35625,6,"St. Joseph, MO",39.7674578,-94.846681
309,St. Louis,MO,0.2351475112,68.1496875,865,"St. Louis, MO",38.6270025,-90.1994042
310,State College,PA,0.2050191134,68.00825,202,"State College, PA",40.7933949,-77.8600012
311,Staunton,VA,0.2721081243,77.50083333,210,"Staunton, VA",38.149576,-79.0716958
312,Sumter,SC,0.2539191185,67.109375,136,"Sumter, SC",33.9204354,-80.3414693
313,Syracuse,NY,0.3326060453,88.56,274,"Syracuse, NY",43.0481221,-76.1474244
314,Tallahassee,FL,0.3400376571,112.51625,90,"Tallahassee, FL",30.4382559,-84.2807329
315,Tampa-St. Petersburg-Clearwater,FL,0.004962697594,10.35980769,1014,"Tampa-St. Petersburg-Clearwater, FL",28.274347,-82.3885783
316,Terre Haute,IN,0.4614545696,129.5475,89,"Terre Haute, IN",39.4667034,-87.4139092
317,Texarkana,TX,0.3295210865,84.1325,1,"Texarkana, TX",33.425125,-94.0476882
318,The Villages,FL,0.03111261414,7.36,43,"The Villages, FL",28.927019,-82.0037608
319,Toledo,OH,0.3919374931,95.93928571,101,"Toledo, OH",41.6528052,-83.5378674
320,Topeka,KS,0.3646270247,109.6377778,145,"Topeka, KS",39.0473451,-95.6751576
321,Trenton-Princeton,NJ,0.2689194508,79.3075,330,"Trenton-Princeton, NJ",40.2205824,-74.759717
322,Tucson,AZ,0.2391288799,70.01402778,3632,"Tucson, AZ",32.2539787,-110.9741769
323,Tulsa,OK,0.224929635,65.96847222,1675,"Tulsa, OK",36.1539816,-95.992775
324,Tuscaloosa,AL,0.2618123561,68.99,427,"Tuscaloosa, AL",33.2098407,-87.5691735
325,Twin Falls,ID,0.2311688781,64.70222222,679,"Twin Falls, ID",42.5558381,-114.4700518
326,Tyler,TX,0.3722656189,119.688125,269,"Tyler, TX",32.3512601,-95.3010624
327,Utica-Rome,NY,0.3324303244,97.07166667,31,"Utica-Rome, NY",43.100903,-75.232664
328,Valdosta,GA,0.4261399867,128.9975,43,"Valdosta, GA",30.8327022,-83.2784851
329,Victoria,TX,0.2373984086,100.6616667,87,"Victoria, TX",28.8052674,-97.0035982
330,Vineland-Bridgeton,NJ,0.4638292742,144.2625,30,"Vineland-Bridgeton, NJ",39.4704305,-75.1398098
331,Virginia Beach-Norfolk-Newport News,VA,0.08454786629,26.8725,2430,"Virginia Beach-Norfolk-Newport News, VA",37.0870821,-76.4730122
332,Waco,TX,0.2300281369,73.83454545,1110,"Waco, TX",31.549333,-97.1466695
333,Walla Walla,WA,0.2673320294,87.29,338,"Walla Walla, WA",46.0645809,-118.3430209
334,Warner Robins,GA,0.5480920422,176.7758333,268,"Warner Robins, GA",32.6130007,-83.624201
335,Waterloo-Cedar Falls,IA,0.1256749649,37.25666667,308,"Waterloo-Cedar Falls, IA",42.5348993,-92.4453161
336,Watertown-Fort Drum,NY,0.2731843216,94.093,182,"Watertown-Fort Drum, NY",43.9747838,-75.9107565
337,Wausau-Weston,WI,0.4053724409,134.4025,8,"Wausau-Weston, WI",44.8908021,-89.5476204
338,Weirton-Steubenville,WV,0.409105822,131.801875,82,"Weirton-Steubenville, WV",40.3697905,-80.6339638
339,Wenatchee,WA,0.1231478939,42.27145833,316,"Wenatchee, WA",47.4234599,-120.3103494
340,Wheeling,WV,0.3683253036,107.4183333,14,"Wheeling, WV",40.0639616,-80.7209149
341,Wichita,KS,0.321571955,85.58972222,636,"Wichita, KS",37.6871761,-97.330053
342,Wichita Falls,TX,0.324689934,92.06386364,341,"Wichita Falls, TX",33.9137085,-98.4933873
343,Williamsport,PA,0.2668459267,76.7725,75,"Williamsport, PA",41.2411897,-77.0010786
344,Wilmington,NC,0.2163010116,74.780625,126,"Wilmington, NC",34.2103894,-77.8868117
345,Winston-Salem,NC,0.4242248349,132.2591667,359,"Winston-Salem, NC",36.0998596,-80.244216
346,Worcester,MA,0.2527660992,78.15678571,386,"Worcester, MA",42.2625932,-71.8022934
347,Yakima,WA,0.3191573634,96.95863636,391,"Yakima, WA",46.6020711,-120.5058987
348,York-Hanover,PA,0.2816122055,68.23333333,39,"York-Hanover, PA",39.8006553,-76.9830358
349,Youngstown-Warren-Boardman,OH,0.3906020751,102.5159375,157,"Youngstown-Warren-Boardman, OH",41.0242256,-80.6628528
350,Yuma,AZ,0.3137693077,88.3235,1210,"Yuma, AZ",32.6926512,-114.6276916
