"","X","MSA","state","lq","race","MSA_State","geometry"
"284",284,"Punta Gorda","FL",0.21,"Asian","Punta Gorda, FL",c(-82.0453664, 26.9297836)
"285",285,"Racine","WI",0,"Asian","Racine, WI",c(-87.7828523, 42.7261309)
"286",286,"Raleigh","NC",2.18,"Asian","Raleigh, NC",c(-78.6381787, 35.7795897)
"287",287,"Rapid City","SD",0.22,"Asian","Rapid City, SD",c(-103.2310149, 44.0805434)
"288",288,"Reading","PA",0.37,"Asian","Reading, PA",c(-75.9268747, 40.3356483)
"289",289,"Redding","CA",0.13,"Asian","Redding, CA",c(-122.3916754, 40.5865396)
"290",290,"Reno","NV",1.78,"Asian","Reno, NV",c(-119.8142691, 39.529919)
"291",291,"Richmond","VA",0.68,"Asian","Richmond, VA",c(-77.4360481, 37.5407246)
"292",292,"Riverside","CA",0.46,"Asian","Riverside, CA",c(-117.3754942, 33.9806005)
"293",293,"Roanoke","VA",1.03,"Asian","Roanoke, VA",c(-79.9414266, 37.2709704)
"294",294,"Rochester","MN",1.01,"Asian","Rochester, MN",c(-92.4801989, 44.0121221)
"295",295,"Rochester","NY",0.73,"Asian","Rochester, NY",c(-77.6088465, 43.1565779)
"296",296,"Rockford","IL",0.27,"Asian","Rockford, IL",c(-89.0939952, 42.2711311)
"297",297,"Rocky Mount","NC",0.08,"Asian","Rocky Mount, NC",c(-77.7905339, 35.9382103)
"298",298,"Rome","GA",0.24,"Asian","Rome, GA",c(-85.1646726, 34.257038)
"299",299,"Sacramento","CA",0.89,"Asian","Sacramento, CA",c(-121.4943996, 38.5815719)
"300",300,"Saginaw","MI",0.08,"Asian","Saginaw, MI",c(-83.9508068, 43.4194699)
"301",301,"St. Cloud","MN",0.05,"Asian","St. Cloud, MN",c(-94.1632404, 45.5579451)
"302",302,"St. George","UT",0.59,"Asian","St. George, UT",c(-113.5684164, 37.0965278)
"303",303,"St. Joseph","MO",0.02,"Asian","St. Joseph, MO",c(-94.846681, 39.7674578)
"304",304,"St. Louis","MO",0.88,"Asian","St. Louis, MO",c(-90.1994042, 38.6270025)
"305",305,"Salem","OR",0.33,"Asian","Salem, OR",c(-123.0350963, 44.9428975)
"306",306,"Salinas","CA",0.59,"Asian","Salinas, CA",c(-121.6555013, 36.6777372)
"307",307,"Salisbury","MD",0.58,"Asian","Salisbury, MD",c(-75.5993692, 38.3606736)
"308",308,"Salt Lake City","UT",0.8,"Asian","Salt Lake City, UT",c(-111.8910474, 40.7607793)
"309",309,"San Angelo","TX",1.45,"Asian","San Angelo, TX",c(-100.4370375, 31.4637723)
"310",310,"San Antonio","TX",0.89,"Asian","San Antonio, TX",c(-98.4945922, 29.4251905)
"311",311,"San Diego","CA",1.57,"Asian","San Diego, CA",c(-117.1610838, 32.715738)
"312",312,"San Francisco","CA",1.94,"Asian","San Francisco, CA",c(-122.4194155, 37.7749295)
"313",313,"San Jose","CA",3.74,"Asian","San Jose, CA",c(-121.8852525, 37.33874)
"314",314,"San Luis Obispo","CA",0.42,"Asian","San Luis Obispo, CA",c(-120.6596156, 35.2827524)
"315",315,"Santa Cruz","CA",0.36,"Asian","Santa Cruz, CA",c(-122.0307963, 36.9741171)
"316",316,"Santa Fe","NM",0.47,"Asian","Santa Fe, NM",c(-105.937799, 35.6869752)
"317",317,"Santa Maria","CA",1.37,"Asian","Santa Maria, CA",c(-120.4357191, 34.9530337)
"318",318,"Santa Rosa","CA",0.17,"Asian","Santa Rosa, CA",c(-122.7140548, 38.440429)
"319",319,"Savannah","GA",1.13,"Asian","Savannah, GA",c(-81.091203, 32.0808989)
"320",320,"Scranton","PA",0.52,"Asian","Scranton, PA",c(-75.6624122, 41.408969)
"321",321,"Seattle","WA",3.36,"Asian","Seattle, WA",c(-122.3320708, 47.6062095)
"322",322,"Sebastian","FL",0.09,"Asian","Sebastian, FL",c(-80.4706078, 27.816415)
"323",323,"Sebring","FL",0.81,"Asian","Sebring, FL",c(-81.440907, 27.495592)
"324",324,"Sheboygan","WI",0.16,"Asian","Sheboygan, WI",c(-87.71453, 43.7508284)
"325",325,"Sherman","TX",0.03,"Asian","Sherman, TX",c(-96.6088805, 33.6356618)
"326",326,"Shreveport","LA",0.25,"Asian","Shreveport, LA",c(-93.7501789, 32.5251516)
"327",327,"Sierra Vista","AZ",0.48,"Asian","Sierra Vista, AZ",c(-110.2772856, 31.5455001)
"328",328,"Sioux City","IA",0.44,"Asian","Sioux City, IA",c(-96.4049408, 42.4963416)
"329",329,"Sioux Falls","SD",0.43,"Asian","Sioux Falls, SD",c(-96.731265, 43.5460223)
"330",330,"South Bend","IN",1.11,"Asian","South Bend, IN",c(-86.2519898, 41.6763545)
"331",331,"Spartanburg","SC",0.37,"Asian","Spartanburg, SC",c(-81.9320482, 34.9495672)
"332",332,"Spokane","WA",0.5,"Asian","Spokane, WA",c(-117.4235319, 47.6579711)
"333",333,"Springfield","IL",0.45,"Asian","Springfield, IL",c(-89.6501481, 39.7817213)
"334",334,"Springfield","MA",0.63,"Asian","Springfield, MA",c(-72.589811, 42.1014831)
"335",335,"Springfield","MO",0.14,"Asian","Springfield, MO",c(-93.2922989, 37.2089572)
"336",336,"Springfield","OH",0,"Asian","Springfield, OH",c(-83.8088171, 39.9242266)
"337",337,"State College","PA",2.75,"Asian","State College, PA",c(-77.8600012, 40.7933949)
"338",338,"Staunton","VA",0.2,"Asian","Staunton, VA",c(-79.0716958, 38.149576)
"339",339,"Stockton","CA",0.4,"Asian","Stockton, CA",c(-121.2907796, 37.9577016)
"340",340,"Sumter","SC",0.11,"Asian","Sumter, SC",c(-80.3414693, 33.9204354)
"341",341,"Syracuse","NY",0.96,"Asian","Syracuse, NY",c(-76.1474244, 43.0481221)
"342",342,"Tallahassee","FL",0.55,"Asian","Tallahassee, FL",c(-84.2807329, 30.4382559)
"343",343,"Tampa","FL",0.92,"Asian","Tampa, FL",c(-82.4571776, 27.950575)
"344",344,"Terre Haute","IN",0.3,"Asian","Terre Haute, IN",c(-87.4139092, 39.4667034)
"345",345,"Texarkana","TX",0.03,"Asian","Texarkana, TX",c(-94.0476882, 33.425125)
"346",346,"The Villages","FL",0.14,"Asian","The Villages, FL",c(-82.0037608, 28.927019)
"347",347,"Toledo","OH",0.19,"Asian","Toledo, OH",c(-83.5378674, 41.6528052)
"348",348,"Topeka","KS",0.06,"Asian","Topeka, KS",c(-95.6751576, 39.0473451)
"349",349,"Trenton","NJ",2.22,"Asian","Trenton, NJ",c(-74.759717, 40.2205824)
"350",350,"Tucson","AZ",0.81,"Asian","Tucson, AZ",c(-110.9741769, 32.2539787)
"351",351,"Tulsa","OK",0.62,"Asian","Tulsa, OK",c(-95.992775, 36.1539816)
"352",352,"Tuscaloosa","AL",0.83,"Asian","Tuscaloosa, AL",c(-87.5691735, 33.2098407)
"353",353,"Twin Falls","ID",0,"Asian","Twin Falls, ID",c(-114.4700518, 42.5558381)
"354",354,"Tyler","TX",0.11,"Asian","Tyler, TX",c(-95.3010624, 32.3512601)
"355",355,"Urban Honolulu","HI",2.61,"Asian","Urban Honolulu, HI",c(-157.8581401, 21.3098845)
"356",356,"Utica","NY",0.85,"Asian","Utica, NY",c(-75.232664, 43.100903)
"357",357,"Valdosta","GA",0.6,"Asian","Valdosta, GA",c(-83.2784851, 30.8327022)
"358",358,"Vallejo","CA",0.64,"Asian","Vallejo, CA",c(-122.2566367, 38.1040864)
"359",359,"Victoria","TX",0,"Asian","Victoria, TX",c(-97.0035982, 28.8052674)
"360",360,"Vineland","NJ",0.15,"Asian","Vineland, NJ",c(-75.0259637, 39.4863773)
"361",361,"Virginia Beach","VA",1.1,"Asian","Virginia Beach, VA",c(-75.9792194, 36.8516437)
"362",362,"Visalia","CA",0.2,"Asian","Visalia, CA",c(-119.2966367, 36.3301329)
"363",363,"Waco","TX",0.43,"Asian","Waco, TX",c(-97.1466695, 31.549333)
"364",364,"Walla Walla","WA",0.74,"Asian","Walla Walla, WA",c(-118.3430209, 46.0645809)
"365",365,"Warner Robins","GA",0.12,"Asian","Warner Robins, GA",c(-83.624201, 32.6130007)
"366",366,"Washington","DC",2.11,"Asian","Washington, DC",c(-77.0368707, 38.9071923)
"367",367,"Waterloo","IA",0.9,"Asian","Waterloo, IA",c(-92.3425775, 42.492786)
"368",368,"Watertown","NY",0.9,"Asian","Watertown, NY",c(-75.9107565, 43.9747838)
"369",369,"Wausau","WI",0.55,"Asian","Wausau, WI",c(-89.6301221, 44.9591352)
"370",370,"Weirton","WV",0.02,"Asian","Weirton, WV",c(-80.5895167, 40.4189566)
"371",371,"Wenatchee","WA",0.12,"Asian","Wenatchee, WA",c(-120.3103494, 47.4234599)
"372",372,"Wheeling","WV",0,"Asian","Wheeling, WV",c(-80.7209149, 40.0639616)
"373",373,"Wichita","KS",0.49,"Asian","Wichita, KS",c(-97.330053, 37.6871761)
"374",374,"Wichita Falls","TX",0.91,"Asian","Wichita Falls, TX",c(-98.4933873, 33.9137085)
"375",375,"Williamsport","PA",0,"Asian","Williamsport, PA",c(-77.0010786, 41.2411897)
"376",376,"Wilmington","NC",0.21,"Asian","Wilmington, NC",c(-77.8868117, 34.2103894)
"377",377,"Winchester","VA",0,"Asian","Winchester, VA",c(-78.1633341, 39.1856597)
"378",378,"Winston","NC",0.57,"Asian","Winston, NC",c(-80.254435, 36.1039642)
"379",379,"Worcester","MA",0.49,"Asian","Worcester, MA",c(-71.8022934, 42.2625932)
"380",380,"Yakima","WA",0.06,"Asian","Yakima, WA",c(-120.5058987, 46.6020711)
"381",381,"York","PA",0.33,"Asian","York, PA",c(-76.727745, 39.9625984)
"382",382,"Youngstown","OH",0.08,"Asian","Youngstown, OH",c(-80.6495194, 41.0997803)
"383",383,"Yuba City","CA",0.15,"Asian","Yuba City, CA",c(-121.6169108, 39.1404477)
"384",384,"Yuma","AZ",1.05,"Asian","Yuma, AZ",c(-114.6276916, 32.6926512)
